title,url,platform,score,genre,editors_choice,release_year
NBA In the Zone 2,/games/nba-in-the-zone-2/ps-331,PlayStation,9,Sports,N,1996
Street Fighter Alpha 2,/games/street-fighter-alpha-2/ps-476,PlayStation,8.5,Fighting,N,1996
TNN Motorsports Hardcore 4X4,/games/hard-core-4x4/ps-747,PlayStation,4,Racing,N,1997
Black Dawn,/games/black-dawn/ps-11,PlayStation,7.5,Simulation,N,1997
Namco Museum Vol. 3,/games/namco-museum-vol-3/ps-733,PlayStation,6,"Action, Compilation",N,1997
Crypt Killer,/games/crypt-killer/ps-734,PlayStation,4,Action,N,1997
Carnage Heart,/games/carnage-heart/ps-304,PlayStation,9.2,Strategy,N,1997
Soul Blade,/games/soul-blade/ps-2117,PlayStation,8.3,Fighting,Y,1997
Hi-Octane,/games/hi-octane/ps-152,PlayStation,6,Racing,N,1997
Star Wars: Shadows of the Empire,/games/star-wars-shadows-of-the-empire/n64-415,Nintendo 64,6.5,Action,N,1996
Wayne Gretzky's 3D Hockey,/games/wayne-gretzkys-3d-hockey/n64-765,Nintendo 64,7.1,Sports,N,1996
Killer Instinct Gold,/games/killer-instinct-gold/n64-499,Nintendo 64,6.5,Fighting,N,1996
Spot Goes to Hollywood,/games/spot-goes-to-hollywood/ps-565,PlayStation,3,Platformer,N,1996
Space Hulk: Vengeance of the Blood Angels,/games/space-hulk-vengeance-of-the-blood-angels/ps-533,PlayStation,6,Action,N,1996
Tekken,/games/tekken/ps-182,PlayStation,7.5,Fighting,N,1996
VR Soccer '96,/games/vr-soccer/ps-14,PlayStation,7.7,Sports,N,1996
Top Gun: Fire At Will,/games/top-gun-fire-at-will/ps-682,PlayStation,3,Simulation,N,1996
World Cup Golf: Professional Edition,/games/world-cup-golf-hyatt-dorado-beach/ps-685,PlayStation,5,Sports,N,1996
Tobal No. 1,/games/tobal-no-1/ps-743,PlayStation,8.7,Fighting,Y,1996
Twisted Metal [1996],/games/twisted-metal-1996/ps-444,PlayStation,7,Action,N,1996
WipEout XL,/games/wipeout-2097/ps-473,PlayStation,9,Racing,Y,1996
Doraemon Nobita & The 3 Fairy Spirit Stones,/games/doraemon-nobita-the-3-fairy-spirit-stones/n64-1901,Nintendo 64,3,Platformer,N,1997
Xevious 3D/G+,/games/xevious-3d-g/ps-2134,PlayStation,8,Shooter,N,1997
Thunder Truck Rally,/games/thunder-truck-rally/ps-2125,PlayStation,7,Racing,N,1997
NBA Hang Time,/games/nba-hang-time/ps-264,PlayStation,4,Sports,N,1997
All-Star Baseball '97 Featuring Frank Thomas,/games/all-star-baseball-97-featuring-frank-thomas/ps-2017,PlayStation,5,Sports,N,1997
War Gods,/games/war-gods/n64-463,Nintendo 64,4.3,Fighting,N,1997
Broken Helix,/games/broken-helix/ps-441,PlayStation,6,"Action, Adventure",N,1997
Codename: Tenka,/games/codename-tenka/ps-2033,PlayStation,7,Shooter,N,1997
War Gods,/games/war-gods/ps-268,PlayStation,4,Fighting,N,1997
Hexen,/games/hexen/ps-2065,PlayStation,5,Action,N,1997
Descent Maximum,/games/descent-maximum/ps-2043,PlayStation,7.5,Action,N,1997
The City of Lost Children,/games/the-city-of-lost-children/ps-2031,PlayStation,5,Adventure,N,1997
Wing Commander IV: The Price of Freedom,/games/wing-commander-iv-the-price-of-freedom/ps-1876,PlayStation,4,Simulation,N,1997
Overblood,/games/overblood/ps-564,PlayStation,6,Adventure,N,1997
Wild ARMs,/games/wild-arms/ps-1875,PlayStation,8,RPG,N,1997
Rage Racer,/games/rage-racer/ps-505,PlayStation,7,Racing,N,1997
Star Fox 64,/games/star-fox-64/n64-419,Nintendo 64,8.7,"Flight, Action",N,1997
Swagman,/games/swagman/ps-579,PlayStation,5,Action,N,1997
Grand Slam,/games/grand-slam/ps-2062,PlayStation,6,Sports,N,1997
Triple Play '98,/games/triple-play-98/ps-1874,PlayStation,9.2,Sports,N,1997
Norse By Norse West: The Return of the Lost Vikings,/games/norse-by-norse-west-the-return-of-the-lost-vikings/ps-2093,PlayStation,6,Platformer,N,1997
Tail of the Sun,/games/tail-of-the-sun/ps-2122,PlayStation,7,Adventure,N,1997
Goal Storm '97,/games/goal-storm-97/ps-1857,PlayStation,6,Sports,N,1997
Sentient [1997],/games/sentient-1997/ps-2115,PlayStation,5,Adventure,N,1997
Psychic Force,/games/psychic-force/ps-57,PlayStation,5,Fighting,N,1997
NHL Powerplay '98,/games/nhl-powerplay-98/ps-2156,PlayStation,7,Sports,N,1997
Madden NFL '98,/games/madden-football-64/ps-2079,PlayStation,7,Sports,N,1997
The Lost World: Jurassic Park,/games/the-lost-world-jurassic-park/ps-2124,PlayStation,5,Action,N,1997
NFL GameDay 98,/games/nfl-gameday-98/ps-2087,PlayStation,8.8,Sports,Y,1997
GoldenEye 007,/games/goldeneye/n64-1991,Nintendo 64,9.7,Shooter,Y,1997
Ace Combat 2,/games/ace-combat-2/ps-481,PlayStation,9,"Flight, Action",Y,1997
Warcraft II: The Dark Saga,/games/warcraft-ii-the-dark-saga/ps-2132,PlayStation,7,Strategy,N,1997
Machine Hunter,/games/machine-hunter/ps-2078,PlayStation,5,Action,N,1997
Tetrisphere,/games/tetrisphere/n64-420,Nintendo 64,8,Puzzle,N,1997
Ogre Battle,/games/ogre-battle/ps-2095,PlayStation,6,Strategy,N,1997
Porsche Challenge,/games/porsche-challenge/ps-2103,PlayStation,8,Racing,N,1997
NCAA Football '98,/games/ncaa-football-98/ps-2086,PlayStation,7,Sports,N,1997
Lethal Enforcers I & II,/games/lethal-enforcers/ps-2074,PlayStation,4,Action,N,1997
VMX Racing,/games/vmx-racing/ps-68,PlayStation,5,Racing,N,1997
Duke Nukem 64,/games/duke-nukem-3d/n64-85,Nintendo 64,8,Shooter,N,1997
NBA Live '98,/games/nba-live-98/ps-2142,PlayStation,8,Sports,N,1997
Jet Moto 2,/games/jet-moto-2/ps-2068,PlayStation,7,Racing,N,1997
Cool Boarders 2,/games/cool-boarders-2/ps-2035,PlayStation,7.2,Sports,N,1997
Time Crisis,/games/time-crisis/ps-2126,PlayStation,8,Action,Y,1997
Maximum Force,/games/maximum-force/ps-2080,PlayStation,5,Shooter,N,1997
Treasures of the Deep,/games/treasures-of-the-deep/ps-2155,PlayStation,8,Adventure,N,1997
Discworld II: Mortality Bytes!,/games/discworld-ii-mortality-bytes/ps-2044,PlayStation,6,Adventure,N,1997
Nuclear Strike,/games/nuclear-strike/ps-2140,PlayStation,7.6,Action,N,1997
NHL FaceOff '98,/games/nhl-faceoff-98/ps-2088,PlayStation,8,Sports,N,1997
NASCAR 98,/games/nascar-98/ps-2085,PlayStation,8,Racing,N,1997
MLB '98,/games/mlb-98/ps-2077,PlayStation,8,Sports,N,1997
Herc's Adventures,/games/hercs-adventures/ps-1858,PlayStation,6,Action,N,1997
Namco Museum Vol. 4,/games/namco-museum-vol-4/ps-2089,PlayStation,6,"Action, Compilation",N,1997
Syndicate Wars,/games/syndicate-wars/ps-534,PlayStation,5,Shooter,N,1997
Dark Rift,/games/dark-rift/n64-1954,Nintendo 64,5.4,Fighting,N,1997
Hercules,/games/hercules/ps-2045,PlayStation,6,Action,N,1997
Battlesport,/games/battlesport-805676/ps-320,PlayStation,6,Action,N,1997
Darklight Conflict,/games/darklight-conflict/ps-2041,PlayStation,7,Action,N,1997
Dynasty Warriors,/games/dynasty-warriors-806701/ps-2047,PlayStation,7.8,Fighting,N,1997
F1 Pole Position 64,/games/f1-pole-position-64/n64-1977,Nintendo 64,4.1,Racing,N,1997
Madden Football 64,/games/madden-football-64/n64-2196,Nintendo 64,7.8,Sports,N,1997
1080° Snowboarding,/games/1080-snowboarding/n64-2225,Nintendo 64,8.6,Sports,Y,1998
San Francisco Rush: Extreme Racing,/games/san-francisco-rush-extreme-racing/ps-3725,PlayStation,5,Racing,N,1998
Judge Dredd,/games/judge-dredd-14213549/ps-2326,PlayStation,2,Shooter,N,1998
Tennis Arena,/games/tennis-arena/ps-2204,PlayStation,5,Sports,N,1998
Rampage: World Tour,/games/rampage-world-tour/n64-2289,Nintendo 64,4.9,Action,N,1998
Pitfall 3D,/games/pitfall-3d/ps-2101,PlayStation,7,Platformer,N,1998
San Francisco Rush: Extreme Racing,/games/san-francisco-rush-extreme-racing/n64-1941,Nintendo 64,8.9,Racing,N,1997
Dragon Ball GT Final Bout,/games/dragon-ball-gt-final-bout/ps-2207,PlayStation,3,Fighting,N,1997
Mass Destruction,/games/mass-destruction/ps-2164,PlayStation,7,Action,N,1997
Need for Speed: V-Rally,/games/need-for-speed-v-rally/ps-2129,PlayStation,8,Racing,N,1997
Caesars Palace,/games/caesars-palace/ps-2028,PlayStation,6,Casino,N,1997
Crash Bandicoot 2: Cortex Strikes Back,/games/crash-bandicoot-2-cortex-strikes-back/ps-2037,PlayStation,8.5,Platformer,N,1997
Colony Wars,/games/colony-wars/ps-2034,PlayStation,9.3,Action,Y,1997
Frogger,/games/frogger-108479/ps-2057,PlayStation,2,Platformer,N,1997
Moto Racer,/games/moto-racer/ps-2141,PlayStation,7.5,Racing,N,1997
Jeopardy! [1998],/games/jeopardy-1998/n64-1998,Nintendo 64,3.8,Simulation,N,1998
NCAA March Madness '98,/games/ncaa-march-madness-98/ps-2292,PlayStation,6.5,Sports,N,1998
Shadow Master,/games/shadow-master/ps-2116,PlayStation,4,Action,N,1998
Oddworld: Abe's Oddysee,/games/oddworld-abes-oddysee/ps-2094,PlayStation,7.5,Adventure,N,1997
NHL '98,/games/nhl-98/ps-1732,PlayStation,8,Sports,N,1997
Poy Poy,/games/poy-poy/ps-2104,PlayStation,8,Action,Y,1997
Bottom of the 9th '97,/games/bottom-of-the-9th-97/ps-2025,PlayStation,6,Sports,N,1997
Magic: The Gathering -- Battlemage,/games/magic-the-gathering-battlemage/ps-321,PlayStation,4,Strategy,N,1997
Steel Reign,/games/steel-reign/ps-2119,PlayStation,7,Action,N,1997
Tecmo Stackers,/games/tecmo-stackers/ps-2123,PlayStation,7,Puzzle,N,1997
Multi Racing Championship,/games/multi-racing-championship/n64-1916,Nintendo 64,6.4,Racing,N,1997
RayStorm,/games/g-darius-raystorm-pack/ps-2108,PlayStation,7.5,Action,N,1997
Hexen,/games/hexen/n64-1994,Nintendo 64,3.7,Action,N,1997
Battle Arena Toshinden 3,/games/battle-arena-toshinden-3/ps-2022,PlayStation,6.3,Fighting,N,1997
WCW vs. NWO: World Tour,/games/wcw-vs-nwo-world-tour/n64-1985,Nintendo 64,7.5,Wrestling,N,1997
Spawn: The Eternal,/games/spawn-the-eternal/ps-324,PlayStation,2,Action,N,1997
Mortal Kombat Mythologies: Sub-Zero,/games/mortal-kombat-mythologies-sub-zero/n64-1914,Nintendo 64,3,Platformer,N,1997
Wheel of Fortune [1997],/games/wheel-of-fortune-n64/n64-1981,Nintendo 64,6.4,Puzzle,N,1997
Bug Riders,/games/bug-riders/ps-2027,PlayStation,3,Racing,N,1997
Automobili Lamborghini,/games/automobili-lamborghini/n64-2002,Nintendo 64,7,Racing,N,1997
Excalibur 2555 AD,/games/excalibur-2555-ad/ps-2049,PlayStation,3,Action,N,1997
Armored Core,/games/armored-core/ps-2020,PlayStation,8,Action,N,1997
ClayFighter 63 1/3,/games/clayfighter-63-13/n64-1940,Nintendo 64,3.7,Fighting,N,1997
Persona,/games/persona/ps-2193,PlayStation,7.5,RPG,N,1997
Golden Nugget,/games/golden-nugget/ps-295,PlayStation,6,Strategy,N,1997
Bushido Blade,/games/bushido-blade/ps-464,PlayStation,8.7,Fighting,Y,1997
Diablo,/games/diablo/ps-2255,PlayStation,7.5,"Action, RPG",N,1998
Dead or Alive,/games/dead-or-alive-806438/ps-2306,PlayStation,8.5,Fighting,Y,1998
Speed Racer,/games/speed-racer/ps-3662,PlayStation,5,Racing,N,1998
Lode Runner: The Legend Returns,/games/lode-runner-the-legend-returns/ps-2298,PlayStation,6,Action,N,1998
Saga Frontier,/games/saga-frontier/ps-2114,PlayStation,7,RPG,N,1998
Rascal,/games/rascal/ps-2106,PlayStation,2,Platformer,N,1998
Quake,/games/aftershock-for-quake/n64-397,Nintendo 64,8,Action,N,1998
ReBoot,/games/reboot/ps-2109,PlayStation,7,Action,N,1998
Snowboard Kids,/games/snowboard-kids/n64-2262,Nintendo 64,8,"Sports, Racing",N,1998
Test Drive 4,/games/test-drive-4/ps-2143,PlayStation,7,Racing,N,1997
Fighting Force,/games/fighting-force/ps-2053,PlayStation,5.5,Action,N,1997
Jimmy Johnson's VR Football 98,/games/jimmy-johnsons-vr-football-98/ps-2069,PlayStation,4,Sports,N,1997
Reel Fishing,/games/reel-fishing-950449/ps-2111,PlayStation,6,Hunting,N,1997
Shipwreckers!,/games/shipwreckers-2097/ps-2097,PlayStation,6,Action,N,1997
Command & Conquer: Red Alert,/games/command-and-conquer-red-alert/ps-2198,PlayStation,8,Strategy,N,1997
Rampage: World Tour,/games/rampage-world-tour/ps-2174,PlayStation,5,Action,N,1997
Street Fighter EX Plus Alpha,/games/street-fighter-ex-plus/ps-2120,PlayStation,8.3,Fighting,N,1997
Nightmare Creatures,/games/nightmare-creatures/ps-2091,PlayStation,7.8,Action,N,1997
NBA In the Zone '98,/games/nba-in-the-zone-98/n64-2265,Nintendo 64,4.7,Sports,N,1998
Nagano Winter Olympics '98,/games/nagano-winter-olympics-98/n64-2259,Nintendo 64,4.2,Sports,N,1998
Skullmonkeys,/games/skullmonkeys/ps-2175,PlayStation,6,Platformer,N,1998
Nagano Winter Olympics '98,/games/nagano-winter-olympics-98/ps-2293,PlayStation,3,Sports,N,1998
NBA in the Zone '98,/games/nba-in-the-zone-98/ps-2214,PlayStation,8,Sports,N,1998
Fighters Destiny,/games/fighters-destiny/n64-2168,Nintendo 64,8,Fighting,N,1998
NHL Breakaway '98,/games/nhl-breakaway-98/ps-1863,PlayStation,7,Sports,N,1997
Felony 11-79,/games/felony-11-79/ps-2052,PlayStation,7,"Racing, Action",N,1997
Arcade's Greatest Hits: The Atari Collection 1,/games/arcades-greatest-hits-atari-collection-1/ps-9792,PlayStation,7,Compilation,N,1997
Tiger Shark,/games/tiger-shark/ps-522,PlayStation,6.5,Action,N,1997
Final Fantasy VII,/games/final-fantasy-vii/ps-494,PlayStation,9.5,RPG,Y,1997
International Superstar Soccer 64,/games/international-superstar-soccer-64/n64-1996,Nintendo 64,9,Sports,N,1997
K-1 The Arena Fighters,/games/k-1-the-arena-fighters/ps-2070,PlayStation,4.5,Fighting,N,1997
The Incredible Hulk: The Pantheon Saga,/games/the-incredible-hulk-the-pantheon-saga/ps-570,PlayStation,5,Action,N,1997
Duke Nukem: Total Meltdown,/games/duke-nukem-total-meltdown/ps-2194,PlayStation,7,Shooter,N,1997
Bomberman 64,/games/bomberman-64/n64-1932,Nintendo 64,7.6,Action,N,1997
Vs.,/games/vs/ps-2130,PlayStation,4,Fighting,N,1997
AeroFighters Assault,/games/aerofighters-assault/n64-1918,Nintendo 64,5,Shooter,N,1997
Ghost in the Shell,/games/ghost-in-the-shell/ps-619,PlayStation,8,Action,N,1997
Arcade's Greatest Hits: The Midway Collection 2,/games/arcades-greatest-hits-the-midway-collection-2/ps-2208,PlayStation,7,Action,N,1997
Namco Museum Vol. 5,/games/namco-museum-vol-5/ps-2090,PlayStation,6,"Action, Compilation",N,1997
Tomb Raider II Starring Lara Croft,/games/tomb-raider-2-starring-lara-croft/ps-2128,PlayStation,8,Adventure,N,1997
Diddy Kong Racing,/games/diddy-kong-racing/n64-2146,Nintendo 64,8.4,"Racing, Action",N,1997
G-Police,/games/g-police/ps-2160,PlayStation,8,Action,N,1997
Clock Tower,/games/clock-tower-14279453/ps-2032,PlayStation,5.5,Adventure,N,1997
CART World Series,/games/cart-world-series/ps-2163,PlayStation,7,Racing,N,1997
Bravo Air Race,/games/bravo-air-race/ps-2026,PlayStation,4,Racing,N,1997
WCW vs. The World,/games/wcw-vs-the-world/ps-2131,PlayStation,6,Wrestling,N,1997
Mace: The Dark Age,/games/mace-the-dark-age/n64-1906,Nintendo 64,7.1,Fighting,N,1997
Top Gear Rally,/games/boss-rally/n64-417,Nintendo 64,8.4,Racing,N,1997
NBA ShootOut '98,/games/nba-shootout-98/ps-2267,PlayStation,8.8,Sports,N,1998
Yoshi's Story,/games/yoshis-story/n64-563,Nintendo 64,7,Platformer,N,1998
Klonoa: Door to Phantomile,/games/klonoa/ps-2227,PlayStation,8,Platformer,Y,1998
Ray Tracers,/games/ray-tracers/ps-2107,PlayStation,7,Action,N,1998
Triple Play '99,/games/triple-play-99/ps-2263,PlayStation,7,Sports,N,1998
Bloody Roar,/games/bloody-roar/ps-2222,PlayStation,8,Fighting,N,1998
X-Men: Children of the Atom,/games/x-men-children-of-the-atom/ps-2331,PlayStation,3.5,Fighting,N,1998
SimCity 2000,/games/simcity-2000/n64-1950,Nintendo 64,3.5,Strategy,N,1998
Extreme-G,/games/extreme-g/n64-1973,Nintendo 64,7.9,Racing,N,1997
NFL Quarterback Club '98,/games/nfl-quarterback-club-98/n64-1921,Nintendo 64,7.8,Sports,N,1997
Final Fantasy Tactics,/games/final-fantasy-tactics/ps-26,PlayStation,8.5,"Strategy, RPG",Y,1998
Monopoly [1998],/games/monopoly-1998/ps-2280,PlayStation,3,Board,N,1998
Auto Destruct,/games/auto-destruct/ps-2177,PlayStation,6,Action,N,1998
Resident Evil 2 [1998],/games/resident-evil-2/ps-504,PlayStation,9.3,"Action, Adventure",Y,1998
Riven: The Sequel to Myst,/games/riven/ps-2218,PlayStation,7,Adventure,N,1998
WCW Nitro,/games/wcw-nitro/ps-2187,PlayStation,7,Wrestling,N,1998
Beast Wars: Transformers,/games/beast-wars-transformers-805694/ps-2270,PlayStation,2.3,Action,N,1998
Red Asphalt,/games/red-asphalt/ps-4,PlayStation,5,Action,N,1998
Micro Machines V3,/games/micro-machines-64-turbo/ps-2220,PlayStation,8.7,Racing,N,1998
BallBlazer Champions,/games/ballblazer-champions/ps-2021,PlayStation,6,"Sports, Action",N,1997
Fantastic Four,/games/fantastic-four/ps-2051,PlayStation,1,Action,N,1997
FIFA Road to World Cup 98,/games/fifa-road-to-world-cup-98/ps-2050,PlayStation,8.5,Sports,N,1997
NCAA GameBreaker '98,/games/ncaa-gamebreaker-98/ps-2213,PlayStation,8,Sports,N,1997
MDK,/games/mdk/ps-2076,PlayStation,8,Action,N,1997
NBA Fastbreak '98,/games/nba-fastbreak-98-142150/ps-13735,PlayStation,4,Sports,N,1997
Star Wars: Masters of Teras Kasi,/games/star-wars-masters-of-teras-kasi/ps-2118,PlayStation,4,Fighting,N,1997
Courier Crisis,/games/courier-crisis/ps-2036,PlayStation,3,Action,N,1997
Monster Rancher,/games/monster-rancher/ps-2180,PlayStation,9,Simulation,N,1997
Castlevania: Symphony of the Night,/games/castlevania-symphony-of-the-night/ps-336,PlayStation,9,"Action, Adventure",Y,1997
Mischief Makers,/games/mischief-makers/n64-1917,Nintendo 64,6.2,Platformer,N,1997
Croc: Legend of the Gobbos,/games/croc-legend-of-the-gobbos/ps-2039,PlayStation,8,Platformer,N,1997
Formula 1: Championship Edition,/games/formula-1-championship-edition/ps-2056,PlayStation,9,Racing,N,1997
Mortal Kombat Mythologies: Sub-Zero,/games/mortal-kombat-mythologies-sub-zero/ps-2084,PlayStation,3.5,Platformer,N,1997
Mega Man X4,/games/mega-man-x4/ps-2083,PlayStation,7,Action,N,1997
PGA Tour '98,/games/pga-tour-98/ps-2162,PlayStation,7,Sports,N,1997
Resident Evil: Director's Cut,/games/resident-evil-directors-cut/ps-2112,PlayStation,8.9,"Action, Adventure",N,1997
Marvel Super Heroes,/games/marvel-super-heroes/ps-160,PlayStation,7,Fighting,N,1997
NHL Breakaway '98,/games/nhl-breakaway-98/n64-1919,Nintendo 64,7.4,Sports,N,1998
Wayne Gretzky's 3D Hockey '98,/games/wayne-gretzkys-3d-hockey-98/n64-2169,Nintendo 64,5.8,Sports,N,1998
Alundra,/games/alundra/ps-2018,PlayStation,8.5,"Action, RPG",Y,1998
Robotron 64,/games/robotron-64/n64-1937,Nintendo 64,6.9,Action,N,1998
Puyo Puyo Sun64,/games/puyo-puyo-sun/n64-2245,Nintendo 64,7.2,Puzzle,N,1997
FIFA Road to World Cup 98,/games/fifa-road-to-world-cup-98/n64-2246,Nintendo 64,7.7,Sports,N,1997
Street Fighter Collection,/games/street-fighter-collection/ps-2121,PlayStation,7,"Fighting, Compilation",N,1997
Chameleon Twist,/games/chameleon-twist/n64-1938,Nintendo 64,6.5,Platformer,N,1997
One,/games/one-66131/ps-2096,PlayStation,5,Action,N,1997
Parappa The Rapper,/games/parappa-the-rapper/ps-490,PlayStation,9,Music,Y,1997
Critical Depth,/games/critical-depth/ps-2038,PlayStation,5,Action,N,1997
Intelligent Qube,/games/intelligent-qube/ps-2199,PlayStation,8,Puzzle,N,1997
Car and Driver Presents Grand Tour Racing 98,/games/car-and-driver-presents-grand-tour-racing-98/ps-2063,PlayStation,6,Racing,N,1997
Jersey Devil,/games/jersey-devil/ps-2067,PlayStation,5,Platformer,N,1998
Wetrix,/games/wetrix/n64-2139,Nintendo 64,8.4,Puzzle,N,1998
Soviet Strike,/games/soviet-strike/ps-525,PlayStation,8,Action,N,1998
X-Men vs. Street Fighter,/games/x-men-vs-street-fighter/ps-39,PlayStation,6,Fighting,N,1998
Quest 64,/games/quest-64-164875/n64-1995,Nintendo 64,5.9,RPG,N,1998
Road Rash 3D,/games/road-rash-3d/ps-2284,PlayStation,5,Racing,N,1998
Vigilante 8,/games/vigilante-8/ps-2210,PlayStation,8,Action,N,1998
Forsaken 64,/games/forsaken/n64-1988,Nintendo 64,8,Action,N,1998
Major League Baseball Featuring Ken Griffey Jr.,/games/major-league-baseball-featuring-ken-griffey-jr/n64-421,Nintendo 64,7.7,Sports,N,1998
All-Star Baseball '99,/games/all-star-baseball-99/n64-2275,Nintendo 64,8.2,Sports,N,1998
Bust-A-Move 2 Arcade Edition,/games/bust-a-move-2-arcade-edition/n64-3606,Nintendo 64,8,Puzzle,N,1998
Aero Gauge,/games/aero-gauge/n64-2006,Nintendo 64,5.2,Racing,N,1998
Bio F.R.E.A.K.S.,/games/bio-freaks/ps-2318,PlayStation,6.5,Fighting,N,1998
Bio F.R.E.A.K.S.,/games/bio-freaks/n64-1924,Nintendo 64,6.4,Action,N,1998
World Cup 98,/games/world-cup-98/n64-3533,Nintendo 64,8.8,Sports,N,1998
Breath of Fire III,/games/breath-of-fire-iii/ps-448,PlayStation,7.5,RPG,N,1998
Hot Shots Golf,/games/hot-shots-golf/ps-2273,PlayStation,8,"Sports, Action",Y,1998
Kobe Bryant in NBA Courtside,/games/kobe-bryant-in-nba-courtside/n64-2266,Nintendo 64,7.8,Sports,N,1998
Mystical Ninja Starring Goemon,/games/mystical-ninja-starring-goemon-949069/n64-608,Nintendo 64,7.6,"Action, Adventure",N,1998
Theme Hospital,/games/theme-hospital/ps-3747,PlayStation,7,Strategy,N,1998
MLB '99,/games/mlb-99/ps-3748,PlayStation,7,Sports,N,1998
Blasto,/games/blasto/ps-2023,PlayStation,5,Action,N,1998
Newman Haas Racing,/games/newman-haas-racing/ps-2216,PlayStation,8,Racing,N,1998
Point Blank,/games/point-blank/ps-2102,PlayStation,8,Action,N,1998
Deathtrap Dungeon,/games/deathtrap-dungeon/ps-2042,PlayStation,5,Adventure,N,1998
SWAT 2,/games/swat-2/pc-4024,PC,7,"Action, Simulation",N,1998
Batman & Robin,/games/batman-robin/ps-2274,PlayStation,5,Action,N,1998
SEGA Touring Car Championship,/games/sega-touring-car-championship/pc-3661,PC,5,Racing,N,1998
Fox Sports Golf '99,/games/fox-sports-golf-99/pc-3881,PC,6,Sports,N,1998
Army Men,/games/army-men/pc-3782,PC,4,Action,N,1998
Revenge of Arcade,/games/revenge-of-arcade/pc-3980,PC,6,Action,N,1998
Dominion:  Storm Over Gift 3,/games/dominion-storm-over-gift-3/pc-3742,PC,4,Strategy,N,1998
Addiction Pinball,/games/addiction-pinball/pc-3831,PC,8,Pinball,N,1998
F-1 World Grand Prix,/games/f-1-world-grand-prix/n64-3535,Nintendo 64,8.3,Racing,N,1998
Mission: Impossible,/games/mission-impossible-808345/n64-29,Nintendo 64,6.6,Action,N,1998
World Cup 98,/games/world-cup-98/ps-3532,PlayStation,8,Sports,N,1998
NFL Xtreme,/games/nfl-xtreme/ps-3528,PlayStation,5,"Sports, Action",N,1998
Granstream Saga,/games/granstream-saga/ps-2305,PlayStation,6,RPG,N,1998
Forsaken,/games/forsaken/ps-2290,PlayStation,8,Action,N,1998
Grand Theft Auto,/games/grand-theft-auto-1/ps-151,PlayStation,6,Action,N,1998
Crime Killer,/games/crime-killer/ps-2173,PlayStation,5,Action,N,1998
Off-Road Challenge,/games/off-road-challenge/n64-2201,Nintendo 64,2.5,Racing,N,1998
Banjo-Kazooie,/games/banjo-kazooie/n64-1922,Nintendo 64,9.6,Platformer,Y,1998
Mortal Kombat 4,/games/mortal-kombat-4/n64-1912,Nintendo 64,8.8,Fighting,N,1998
Mortal Kombat 4,/games/mortal-kombat-4/ps-3723,PlayStation,8,Fighting,N,1998
Jeremy McGrath Supercross '98,/games/jeremy-mcgrath-supercross-98/ps-3915,PlayStation,5,Racing,N,1998
N2O: Nitrous Oxide,/games/n2o-nitrous-oxide/ps-2328,PlayStation,8,Shooter,N,1998
Chopper Attack,/games/chopper-attack-140530/n64-3750,Nintendo 64,5.6,Action,N,1998
C: The Contra Adventure,/games/c-the-contra-adventure/ps-3773,PlayStation,1,Action,N,1998
Dune 2000,/games/dune-2000/pc-2330,PC,5.3,Strategy,N,1998
Future Cop: L.A.P.D.,/games/future-cop-lapd/ps-3923,PlayStation,8.3,Action,N,1998
M.A.X. 2,/games/max-2/pc-3829,PC,3.7,Strategy,N,1998
Mega Man Legends,/games/mega-man-legends/ps-2082,PlayStation,8.4,"Action, Adventure",N,1998
Parasite Eve,/games/parasite-eve/ps-2228,PlayStation,7.4,RPG,N,1998
MechCommander,/games/mechcommander/pc-3835,PC,7.8,Strategy,N,1998
Pro Bass Fishing,/games/pro-bass-fishing/pc-4031,PC,2.9,Hunting,N,1998
WarGames,/games/wargames/pc-3963,PC,7,Strategy,N,1998
Triple Play '99,/games/triple-play-99/pc-3137,PC,5,Sports,N,1998
High Heat Baseball 1999,/games/high-heat-baseball-1999/pc-3858,PC,7,Sports,N,1998
Flesh Feast,/games/flesh-feast/pc-3636,PC,5,Action,N,1998
Grim Fandango,/games/grim-fandango/pc-3100,PC,9.4,Adventure,Y,1998
Rally Cross 2,/games/rally-cross-2/ps-10396,PlayStation,7.5,Racing,N,1998
Return Fire II,/games/return-fire-ii/pc-9953,PC,7.8,Strategy,N,1998
Hedz,/games/hedz/pc-10460,PC,6.5,Action,N,1998
Mike Piazza's StrikeZone,/games/mike-piazzas-strikezone/n64-2276,Nintendo 64,3,Sports,N,1998
Virtual Chess 64,/games/virtual-chess-64/n64-2317,Nintendo 64,7.7,Board,N,1998
Metal Gear Solid,/games/metal-gear-solid/ps-569,PlayStation,9.8,"Action, Adventure",Y,1998
NASCAR 99,/games/nascar-99/n64-3968,Nintendo 64,7,Racing,N,1998
Kagero: Deception II,/games/kagero-deception-ii/ps-3716,PlayStation,8.5,Strategy,N,1998
Red Jack: Revenge of the Brethren,/games/red-jack-revenge-of-the-brethren/pc-10369,PC,7,Adventure,N,1998
Xenogears,/games/xenogears/ps-2230,PlayStation,9.5,RPG,Y,1998
Deadly Arts,/games/deadly-arts/n64-2172,Nintendo 64,3.2,Fighting,N,1998
GT 64 Championship Edition,/games/gt-64-championship-edition/n64-3749,Nintendo 64,3.9,Racing,N,1998
NFL Blitz [1998],/games/nfl-blitz-1997/n64-2200,Nintendo 64,9.1,"Sports, Action",N,1998
